SL.No,No of cycles,fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr
97,986,698.72,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
98,987,690,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
99,1000,494,0,0,550,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
100,1000,570,0,0,450,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
101,1000,600,0,0,300,595,8,0.7,0,0,85.9,6,0,0,0,0,0,0,0.1,2,0,2,4
102,1000,494,0,0,25,0,0,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
103,1000,570,0,0,25,800,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
104,1000,600,0,0,25,900,4,0,0,0,89.924,8.96,3.83,0.01,0.009,0.12,0.0016,0.16,0,0,0,0,0
105,1220,444.86,1020,2,500,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
106,1420,637.76,1020,2,400,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
107,1475,561.41,1020,2,450,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
108,1568,673.14,1020,2,350,1020,2,0.2,0,0,85.09,5.8,0,0.06,0,0,0,0,0.35,4,0.7,0.5,3.5
